time,energy
1.9300099999947826E-12,4.682792799224278E-19
1.9400099999949007E-12,4.658212962168947E-19
1.950009999995019E-12,4.634393939047582E-19
1.960009999995137E-12,4.611676143789615E-19
1.970009999995255E-12,4.590158108630295E-19
1.980009999995373E-12,4.569791134662115E-19
1.9900099999954912E-12,4.550444656802002E-19
2.0000099999956093E-12,4.5319479149795135E-19
2.0100099999957274E-12,4.514115262860016E-19
2.0200099999958455E-12,4.496761340272338E-19
2.0300099999959636E-12,4.479710728827713E-19
2.0400099999960817E-12,4.462805415131429E-19
2.0500099999962E-12,4.445912552851728E-19
2.060009999996318E-12,4.428934552975339E-19
2.070009999996436E-12,4.411823254292546E-19
2.080009999996554E-12,4.394599556240448E-19
2.090009999996672E-12,4.377379008641925E-19
2.1000099999967903E-12,4.360401835135141E-19
2.1100099999969084E-12,4.344062042502248E-19
2.1200099999970265E-12,4.328924455891317E-19
2.1300099999971446E-12,4.3157122763199324E-19
2.1400099999972627E-12,4.3052458571870956E-19
2.1500099999973808E-12,4.2983233274700716E-19
2.160009999997499E-12,4.2955596895203297E-19
2.170009999997617E-12,4.2972337114809174E-19
2.180009999997735E-12,4.303206215253791E-19
2.190009999997853E-12,4.3129484424452737E-19
2.2000099999979713E-12,4.3256661303437553E-19
2.2100099999980894E-12,4.340462635903439E-19
2.2200099999982075E-12,4.356480836172097E-19
2.2300099999983256E-12,4.372990913758992E-19
2.2400099999984436E-12,4.389422699409363E-19
2.2500099999985617E-12,4.405359036115651E-19
2.26000999999868E-12,4.420509516915125E-19
2.270009999998798E-12,4.4346790021670485E-19
2.280009999998916E-12,4.447738954377089E-19
2.290009999999034E-12,4.459604814141652E-19
2.3000099999991522E-12,4.470219851627944E-19
2.3100099999992703E-12,4.479544638561046E-19
2.3200099999993884E-12,4.487550856719899E-19
2.3300099999995065E-12,4.494218138225749E-19
2.3400099999996246E-12,4.499532773069084E-19
2.3500099999997427E-12,4.50348731173512E-19
2.360009999999861E-12,4.506080298972652E-19
2.370009999999979E-12,4.507315587867124E-19
2.380010000000097E-12,4.507200892415501E-19
2.390010000000215E-12,4.505745424561826E-19
2.4000100000003332E-12,4.502956606849443E-19
2.4100100000004513E-12,4.498835934522632E-19
2.4200100000005694E-12,4.493374070418503E-19
2.4300100000006875E-12,4.486545191667225E-19
2.4400100000008056E-12,4.478300475002475E-19
2.4500100000009237E-12,4.468560412173179E-19
2.4600100000010418E-12,4.457205381876992E-19
2.47001000000116E-12,4.444063541413802E-19
2.480010000001278E-12,4.42889457469771E-19
2.490010000001396E-12,4.411367018391921E-19
2.500010000001514E-12,4.391025553209779E-19
2.5100100000016323E-12,4.367242359392071E-19
2.5200100000017504E-12,4.339142553321413E-19
2.5300100000018685E-12,4.3054861431403668E-19
2.5400100000019866E-12,4.2644742430963153E-19
2.5500100000021047E-12,4.2134173416681144E-19
2.5600100000022228E-12,4.148138872870309E-19
2.570010000002341E-12,4.061839003732422E-19
2.580010000002459E-12,3.9427776087623727E-19
2.590010000002577E-12,3.7691663936211033E-19
2.600010000002695E-12,3.49699550900074E-19
2.6100100000028132E-12,3.0305761896267303E-19
2.6200100000029313E-12,2.1882381682106055E-19
2.6300100000030494E-12,1.2348846661566354E-19
2.6400100000031675E-12,1.8519847877142163E-19
2.6500100000032856E-12,2.82619549162045E-19
2.6600100000034037E-12,3.3836944485267774E-19
2.670010000003522E-12,3.700637898583346E-19
2.68001000000364E-12,3.8977372195803153E-19
2.690010000003758E-12,4.030296989350855E-19
2.700010000003876E-12,4.1250103911376402E-19
2.7100100000039942E-12,4.1959293751085983E-19
2.7200100000041123E-12,4.2510482015214517E-19
2.7300100000042304E-12,4.2952178565328085E-19
2.7400100000043485E-12,4.331543566457992E-19
2.7500100000044666E-12,4.362104507072512E-19
2.7600100000045847E-12,4.388347728251457E-19
2.770010000004703E-12,4.411315149372016E-19
2.780010000004821E-12,4.431780135719724E-19
2.790010000004939E-12,4.450332637160582E-19
2.800010000005057E-12,4.467433711963187E-19
2.810010000005175E-12,4.483450985162651E-19
2.8200100000052933E-12,4.498681609136819E-19
2.8300100000054114E-12,4.513366480501514E-19
2.8400100000055295E-12,4.527697796503726E-19
2.8500100000056476E-12,4.541821002792361E-19
2.8600100000057657E-12,4.555831564577977E-19
2.8700100000058838E-12,4.569766731736077E-19
2.880010000006002E-12,4.583592652673936E-19
2.89001000000612E-12,4.597188029790324E-19
2.900010000006238E-12,4.610327258779117E-19
2.910010000006356E-12,4.622668740501141E-19
2.9200100000064743E-12,4.6337572467996385E-19
2.9300100000065924E-12,4.643051066099132E-19
2.9400100000067105E-12,4.649981998940252E-19
2.9500100000068285E-12,4.654046206180451E-19
2.9600100000069466E-12,4.6549075701620635E-19
2.9700100000070647E-12,4.652480986317484E-19
2.980010000007183E-12,4.646963072694483E-19
2.990010000007301E-12,4.638797045554781E-19
3.000010000007419E-12,4.628586510341421E-19
3.010010000007537E-12,4.616991314755832E-19
3.0200100000076552E-12,4.604637700237334E-19
3.0300100000077733E-12,4.592060313346451E-19
3.0400100000078914E-12,4.579677453471805E-19
3.0500100000080095E-12,4.567791254106913E-19
3.0600100000081276E-12,4.5566021518552105E-19
3.0700100000082457E-12,4.546228990689857E-19
3.080010000008364E-12,4.536729340930083E-19
3.090010000008482E-12,4.528117369953589E-19
3.1000100000086E-12,4.520378393222792E-19
3.110010000008718E-12,4.513480181941701E-19
3.1200100000088362E-12,4.507381495380088E-19
3.1300100000089543E-12,4.502038392771836E-19
3.1400100000090724E-12,4.49740882606241E-19
3.1500100000091905E-12,4.493455911202266E-19
3.1600100000093086E-12,4.4901501644184745E-19
3.1700100000094267E-12,4.487470887423064E-19
3.1800100000095448E-12,4.485406796201064E-19
3.190010000009663E-12,4.483955912953046E-19
3.200010000009781E-12,4.483124681673945E-19
3.210010000009899E-12,4.4829262293383895E-19
3.220010000010017E-12,4.483377684449168E-19
3.2300100000101353E-12,4.484496492484916E-19
3.2400100000102534E-12,4.4862957424561385E-19
3.2500100000103715E-12,4.488778644258718E-19
3.2600100000104896E-12,4.491932466973971E-19
3.2700100000106077E-12,4.495722444734809E-19
3.2800100000107258E-12,4.500086346303752E-19
3.290010000010844E-12,4.504930544406356E-19
3.300010000010962E-12,4.510128464199605E-19
3.31001000001108E-12,4.515522194510532E-19
3.320010000011198E-12,4.520927777889278E-19
3.3300100000113162E-12,4.526144243471267E-19
3.3400100000114343E-12,4.5309658326707385E-19
3.3500100000115524E-12,4.535196175233586E-19
3.3600100000116705E-12,4.538662560344483E-19
3.3700100000117886E-12,4.541228127818137E-19
3.3800100000119067E-12,4.54279996568458E-19
3.390010000012025E-12,4.543331796003267E-19
3.400010000012143E-12,4.542821004628484E-19
3.410010000012261E-12,4.541300893574927E-19
3.420010000012379E-12,4.538829849058641E-19
3.4300100000124972E-12,4.535479406967458E-19
3.4400100000126153E-12,4.531322964825658E-19
3.4500100000127334E-12,4.526426320094062E-19
3.4600100000128515E-12,4.520840553957299E-19
3.4700100000129696E-12,4.514597221855661E-19
3.4800100000130877E-12,4.507705450049678E-19
3.490010000013206E-12,4.500150373038255E-19
3.500010000013324E-12,4.491892330022919E-19
3.510010000013442E-12,4.482866307559786E-19
3.52001000001356E-12,4.472981220260471E-19
3.530010000013678E-12,4.462118734122057E-19
3.5400100000137963E-12,4.450131453738072E-19
3.5500100000139144E-12,4.436840435320903E-19
3.5600100000140325E-12,4.422032202123571E-19
3.5700100000141506E-12,4.405455824225862E-19
3.5800100000142687E-12,4.386821358623792E-19
3.5900100000143868E-12,4.365802350696526E-19
3.600010000014505E-12,4.342047734445505E-19
3.610010000014623E-12,4.315213225889259E-19
3.620010000014741E-12,4.2850302902385E-19
3.630010000014859E-12,4.2514422939824517E-19
3.640010000014977E-12,4.214848180671878E-19
3.650010000015095E-12,4.176484619325953E-19
3.6600100000152135E-12,4.1388975003087214E-19
3.6700100000153315E-12,4.1062321334659336E-19
3.68001000001545E-12,4.083765313680605E-19
3.690010000015568E-12,4.076194716518023E-19
3.700010000015686E-12,4.085313448227709E-19
3.710010000015804E-12,4.108959365894509E-19
3.720010000015922E-12,4.142293654884124E-19
3.73001000001604E-12,4.180140275795962E-19
3.740010000016158E-12,4.218564930480374E-19
3.750010000016276E-12,4.255229371146532E-19
3.7600100000163944E-12,4.2890590783771083E-19
3.7700100000165125E-12,4.31977432893551E-19
3.780010000016631E-12,4.347523937885143E-19
3.790010000016749E-12,4.372656574851315E-19
3.800010000016867E-12,4.395595652836678E-19
3.810010000016985E-12,4.416778351598676E-19
3.820010000017103E-12,4.43663074063642E-19
3.830010000017221E-12,4.455562271980868E-19
3.840010000017339E-12,4.473970639518604E-19
3.850010000017457E-12,4.492252687059423E-19
3.860010000017575E-12,4.51081984608193E-19
3.8700100000176935E-12,4.530118432287929E-19
3.8800100000178116E-12,4.550656710780988E-19
3.89001000001793E-12,4.573042548447384E-19
3.900010000018048E-12,4.598038457125746E-19
3.910010000018166E-12,4.62664619141472E-19
3.920010000018284E-12,4.660243495664333E-19
3.930010000018402E-12,4.700817294056995E-19
3.94001000001852E-12,4.751386129273628E-19
3.950010000018638E-12,4.816822866893953E-19
3.960010000018756E-12,4.905609606299813E-19
3.9700100000188745E-12,5.034060035557267E-19
3.9800100000189926E-12,5.238354532429745E-19
3.990010000019111E-12,5.6191129914363735E-19
4.000010000019229E-12,6.608841542227223E-19
